dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test
12;56;NaiveMovingAverage_normal;0.32068096415926395;61.81818181818182;0.3115602698836643;8.491712230589782;0.31079697015927277;6.736240871053353;[12.6842403628118, 13.4070294784581, 23.0300453514739, 35.2749433106576, 32.9931972789116, 14.9943310657596, 14.5691609977324, 16.468253968254, 17.7437641723356, 22.3214285714286, 33.2908163265306, 38.6196145124717, 14.5266439909297, 15.9438775510204, 19.3877551020408, 17.5170068027211, 33.7018140589569, 23.4835600907029, 26.4880952380952, 17.531179138322, 17.0918367346939, 17.5736961451247, 15.4336734693878, 23.0583900226757, 31.0374149659864, 30.0453514739229, 13.3078231292517, 14.7392290249433, 12.3015873015873, 14.7250566893424, 21.5136054421769, 29.9603174603175, 8.77267573696145, 10.9410430839002, 17.0068027210884, 16.3690476190476, 21.0742630385488, 26.0345804988662, 40.4336734693878, 38.0810657596372, 15.7312925170068, 17.2902494331066, 12.9676870748299, 12.0890022675737, 24.234693877551, 28.6848072562358, 41.6524943310658, 22.2222222222222, 10.4875283446712, 16.7375283446712, 18.6224489795918, 22.6615646258503, 31.2783446712018, 31.4342403628118, 15.7171201814059, 16.7942176870748];[19.10262633911741, 19.16567635652292, 19.2080728623536, 19.18525388282275, 18.986100579320446, 18.840905511390492, 19.04433700718414, 19.30785850016586, 19.580526195254834, 19.807103378240058, 19.835156973189008, 19.63323044587381, 19.484578280682708, 19.73671922661192, 19.858457250346376, 19.96101266368199, 20.12206816612184, 20.1261430578753, 19.951403565918053, 19.758742188686305, 19.8360459669262, 19.89760267672737, 19.949897537446596, 20.046685044449937, 20.03440082129537, 19.86626964584133, 19.717338433774216, 19.82266013152955, 19.92774806857283, 20.059452288103994, 20.167499953325773, 20.11804334040238, 19.960709604746228, 19.760179286582904, 19.864997296378068, 19.963017584557328, 20.040374478688275, 20.11974709752315, 20.102212587411767, 20.021141252134882, 19.867363385332467, 19.930536587405452, 20.011331023828294, 20.119153732353883, 20.19506976135153, 20.188184122193775, 19.971416597962474, 19.77699809098812, 19.83538586911842, 19.932031579684967, 19.972465660885202, 20.09841344237454, 20.072251403407652, 19.83924646644579, 19.623014329655028, 19.7118501312044];1998-03-23;1998-05-17
0;56;NaiveMovingAverage_normal;0.26545476262787787;65.45454545454545;0.32042714189232874;16.25024071458534;0.31998467087167287;11.987590638258549;[19.9404761904762, 28.6139455782313, 37.046485260771, 60.9268707482993, 49.4047619047619, 30.6547619047619, 27.6927437641723, 27.593537414966, 34.5804988662132, 45.1955782312925, 55.93820861678, 52.4801587301587, 25.5385487528345, 19.2460317460317, 23.9937641723356, 36.5362811791383, 58.8860544217687, 46.5277777777778, 40.6462585034014, 25.2692743764172, 30.7256235827664, 29.5209750566893, 26.2896825396825, 39.3707482993197, 54.6201814058957, 49.0079365079365, 31.3917233560091, 28.8548752834467, 22.5056689342404, 29.1241496598639, 37.3866213151927, 56.7460317460318, 50.1700680272109, 32.6530612244898, 27.1258503401361, 22.0946712018141, 30.4138321995465, 45.9892290249433, 66.468253968254, 53.0895691609977, 40.1643990929705, 34.5663265306122, 31.9727891156463, 22.2789115646259, 42.9563492063492, 62.8259637188209, 50.1417233560091, 33.7018140589569, 28.656462585034, 26.4172335600907, 27.2534013605442, 44.3735827664399, 65.2069160997732, 49.7448979591837, 34.4812925170068, 32.6672335600907];[27.958652309099698, 28.170417243530494, 28.22086674503806, 28.09781270185324, 27.713946311759205, 27.610870588314135, 27.62384896143665, 27.793734988368254, 28.010754416462664, 28.116856950013883, 28.108289077040613, 27.724388158431157, 27.614850697220668, 27.783246401000074, 27.868222579847657, 28.105630314868513, 28.212762240959954, 28.128787850435515, 27.76918649887825, 27.541224633684017, 27.584649079104548, 27.72125893150301, 27.897981374992533, 27.91874600617384, 27.82819168587988, 27.47740537087119, 27.363235896096214, 27.42342656914208, 27.56402725410526, 27.779604038098796, 27.866066421258115, 27.748643416769433, 27.322641584579408, 27.15451733605238, 27.171091696075802, 27.420649002773615, 27.585133605864637, 27.712001418200742, 27.625511462796393, 27.321410566225826, 27.13642223030159, 27.510568193126982, 27.992669570063377, 28.35795053978489, 28.44011450055685, 28.399202741114646, 28.020939922651195, 27.839135703339025, 27.810539270612985, 27.971792294301952, 28.218584114397714, 28.27210980503705, 28.361826767940272, 28.07707934498715, 27.797219445593857, 27.72820691903019];1998-03-23;1998-05-17
18;56;NaiveMovingAverage_normal;0.6756171831452692;69.0909090909091;0.4256721217598284;12.204246664650071;0.42476843615309257;10.790040242463578;[12.6133786848073, 15.9722222222222, 36.5362811791383, 51.1621315192744, 36.592970521542, 17.1343537414966, 17.1201814058957, 18.2397959183673, 21.5136054421769, 28.9965986394558, 47.2647392290249, 36.0685941043084, 17.6729024943311, 17.1060090702948, 17.7862811791383, 22.0096371882086, 49.6456916099773, 30.6122448979592, 33.078231292517, 12.6984126984127, 14.5975056689342, 16.7233560090703, 18.2539682539683, 30.0028344671202, 48.9937641723356, 35.8134920634921, 15.858843537415, 15.7879818594104, 14.3707482993197, 16.4540816326531, 35.1899092970522, 47.1513605442177, 2.04081632653061, 12.3724489795918, 20.7199546485261, 21.952947845805, 15.858843537415, 33.5175736961451, 37.046485260771, 36.8197278911565, 18.452380952381, 15.8021541950113, 18.8492063492063, 21.5277777777778, 28.9540816326531, 51.4030612244898, 36.6071428571429, 13.9597505668934, 16.2414965986395, 18.75, 14.0873015873016, 33.3333333333333, 51.6439909297052, 35.0056689342404, 16.7517006802721, 19.4586167800454];[26.306546277727588, 26.42392217711663, 26.533422674625097, 26.38588454124311, 26.024737964981256, 25.80067802287056, 25.86624850231088, 25.820418024327267, 25.909957477676645, 26.256678578303443, 26.38045045688576, 26.601484127252963, 26.477990635040562, 26.687908236300395, 27.005749256504917, 27.18415589746505, 27.42478955600708, 27.356670762582915, 26.84019698994768, 26.47351806218503, 26.631399553529743, 26.871084342095415, 27.09536882126865, 27.22971729542568, 27.13738505281284, 26.690993748765248, 26.560176863628797, 26.813022108041434, 27.096885377906375, 27.283479581239998, 27.454512644812432, 27.376166004951166, 26.908585335736856, 26.695585087613047, 26.862417761596664, 27.007563495528338, 27.238221181421952, 27.463288759745083, 27.43390621558019, 27.189613881321673, 26.880868378182313, 27.025818776879426, 27.20458380213196, 27.382604980997783, 27.551996872544688, 27.45020011698911, 26.919127384944076, 26.660132060994343, 26.831317345258892, 26.90978158774058, 27.057347535874165, 27.152968295028057, 26.86954652769052, 26.542752488621204, 26.307737600427952, 26.526423205868365];1998-03-23;1998-05-17
6;56;NaiveMovingAverage_normal;0.26080894229232854;67.27272727272727;0.2613093665275839;7.126654817850149;0.2606708858850349;5.577157094404351;[16.6950113378685, 19.1751700680272, 21.9671201814059, 32.2137188208617, 35.4308390022676, 18.0413832199547, 20.8333333333333, 22.6048752834467, 27.1967120181406, 21.3151927437642, 28.968253968254, 35.3174603174603, 15.4336734693878, 21.7120181405896, 18.8775510204082, 20.3231292517007, 28.2738095238095, 21.1734693877551, 29.0816326530612, 12.0181405895692, 12.7834467120181, 20.0538548752834, 16.4824263038549, 21.5986394557823, 27.0266439909297, 32.1145124716553, 14.4132653061225, 19.3452380952381, 14.2998866213152, 18.0555555555556, 19.4302721088435, 31.5334467120181, 9.84977324263039, 14.8100907029478, 18.1972789115646, 12.65589569161, 20.7766439909297, 22.6615646258503, 31.0515873015873, 35.4591836734694, 14.3707482993197, 14.8951247165533, 17.4603174603175, 17.1201814058957, 22.7324263038549, 28.7840136054422, 30.0028344671202, 13.1519274376417, 12.3724489795918, 15.702947845805, 17.6020408163265, 15.4903628117914, 31.5051020408163, 32.3979591836735, 13.7046485260771, 17.4744897959184];[19.068448210002575, 19.177281717814758, 19.27958735062048, 19.3097071926992, 19.18453699379368, 19.01834183625065, 19.14032516164383, 19.175537790422172, 19.250391922407275, 19.366933020085458, 19.42380366802099, 19.384715421955576, 19.20180827194371, 19.29875570542819, 19.392084029080074, 19.502238152945576, 19.601429389232514, 19.66092696408082, 19.55741069956275, 19.30669573326791, 19.394815529129257, 19.4898592067758, 19.53956191568452, 19.60798655297314, 19.609193625509707, 19.527269456132544, 19.287608600352126, 19.36847673230173, 19.43206283902929, 19.529109225710254, 19.622538269579987, 19.63470582220274, 19.435753249473496, 19.277165112997313, 19.360298981352194, 19.40345244955537, 19.549478340942425, 19.63970424301143, 19.65708278537582, 19.61145960983068, 19.403174736162953, 19.528017342124528, 19.606044735317454, 19.730497284333893, 19.850707237544686, 19.93940140480048, 19.843533055153387, 19.65165348640663, 19.718067023385245, 19.75490221087007, 19.84054799557762, 19.924156293296495, 19.920308626049202, 19.768812755904158, 19.463242302058227, 19.470113056581475];1998-03-23;1998-05-17
9;56;NaiveMovingAverage_normal;0.32227300229707107;67.27272727272727;0.300882076788767;9.16975690983105;0.30015612678333586;6.750214453655107;[11.4654195011338, 18.3815192743764, 17.3469387755102, 40.4336734693878, 25.8078231292517, 7.27040816326531, 13.2511337868481, 13.4353741496599, 19.4586167800454, 24.9858276643991, 36.0969387755102, 34.7789115646259, 19.8696145124717, 14.2431972789116, 19.1184807256236, 21.031746031746, 34.8639455782313, 28.4722222222222, 30.2862811791383, 21.1592970521542, 20.4506802721088, 23.7670068027211, 21.2018140589569, 24.2772108843537, 33.4467120181406, 26.0770975056689, 21.3293650793651, 18.0272108843537, 15.8730158730159, 4.12414965986395, 38.9172335600907, 33.3049886621315, 28.9257369614512, 20.3514739229025, 20.124716553288, 16.2273242630386, 16.9359410430839, 25.0, 39.3140589569161, 34.9631519274376, 23.6678004535147, 20.6916099773243, 20.2947845804989, 17.2052154195011, 20.3373015873016, 35.218253968254, 28.6139455782313, 19.7704081632653, 18.2114512471655, 15.8730158730159, 17.219387755102, 22.562358276644, 37.7834467120181, 32.312925170068, 20.3939909297052, 20.578231292517];[18.97839965645556, 19.072121358457757, 19.16106633621163, 19.175629110095425, 18.898753854578807, 18.804710556991513, 18.823182576336368, 18.893348160762336, 18.963811098190863, 19.06658942788042, 19.07205918418346, 18.811968741016866, 18.700369344567108, 18.736806908116296, 18.837920601209998, 18.97954185238486, 19.053694071568007, 19.095724302345563, 18.88789796009863, 18.86294208726167, 18.880781648602515, 18.953409193683665, 19.068185724321395, 19.184772934897822, 19.218154415248208, 18.982651704323896, 18.909696461799843, 18.956561236620672, 19.018835841318868, 19.164165523712484, 19.261204473344268, 19.267521587695278, 19.011160445556943, 18.843631703409674, 18.85849852584642, 18.916155199122787, 19.00780978909614, 19.091306128588688, 19.114179223101136, 18.97333580239843, 18.847894893027846, 18.89222266261303, 18.969593629861212, 19.047151716696796, 19.143295638888183, 19.212488300967234, 19.07077248889111, 18.965466894697943, 18.948585408442742, 19.004267261567968, 19.138825148267635, 19.273396844717173, 19.262253008535005, 19.09036872642993, 18.942171990285775, 18.913646178213888];1998-03-23;1998-05-17
15;56;NaiveMovingAverage_normal;0.3978302500368328;74.54545454545455;0.3770014583008571;12.076523184304664;0.376171752911699;9.36458199931107;[10.5725623582766, 21.499433106576, 33.3049886621315, 50.2125850340136, 28.7981859410431, 10.8560090702948, 16.0997732426304, 19.7562358276644, 22.5056689342404, 44.7562358276644, 42.4036281179138, 25.8361678004535, 11.2386621315193, 19.4160997732426, 15.1360544217687, 22.718253968254, 50.5810657596372, 24.0221088435374, 31.40589569161, 10.062358276644, 16.5391156462585, 20.7057823129252, 16.8650793650794, 32.1428571428571, 44.1751700680272, 26.3605442176871, 13.8605442176871, 17.7295918367347, 13.3645124716553, 15.6179138321995, 40.0651927437642, 53.6706349206349, 24.092970521542, 10.671768707483, 17.8996598639456, 14.3849206349206, 23.5969387755102, 37.2590702947846, 42.5878684807256, 28.4297052154195, 14.6683673469388, 20.6490929705215, 19.7278911564626, 19.8979591836735, 34.5521541950113, 41.2840136054422, 27.0549886621315, 13.2936507936508, 17.4178004535147, 13.0243764172336, 19.5436507936508, 31.2358276643991, 48.3134920634921, 29.3509070294785, 10.7993197278912, 16.1281179138322];[21.920414341146017, 22.091053707190756, 22.22577051140948, 22.01119754144417, 21.622391270759152, 21.382520804404887, 21.497565849598622, 21.672998786750757, 21.849386024859722, 21.969621327786964, 21.79743153551989, 21.520506855892375, 21.47172910952069, 21.70503419246566, 21.860935334108103, 22.046003633258234, 22.193712695608063, 22.0562646035865, 21.68932125915117, 22.01921621779823, 22.207110961299975, 22.377786906365394, 22.620736302634214, 22.717470358796064, 22.598572898013266, 22.107219157451443, 22.080778757922904, 22.254523822052093, 22.31155782310624, 22.49741151887124, 22.604529831564353, 22.48845653134963, 21.930025572969924, 21.826112332337775, 21.997972307357834, 22.11529383770647, 22.30635653970145, 22.37666056202722, 22.25869659777736, 22.006468043632097, 21.939742919278256, 22.14388798502981, 22.24662975975464, 22.48989958975316, 22.58768594503018, 22.43936155352577, 22.17147943208547, 22.056386809277885, 22.22219282156488, 22.326332896942123, 22.50518899976552, 22.59526080332094, 22.377603962888198, 21.933376431090412, 21.787648760429555, 21.97794366095523];1998-03-23;1998-05-17
24;56;NaiveMovingAverage_normal;0.35484553800504137;60.0;0.3012580595819864;7.884879390753637;0.3004285804756119;5.946555115783952;[11.4087301587302, 14.5549886621315, 22.9450113378685, 30.3571428571429, 30.1303854875283, 15.9580498866213, 15.0651927437642, 19.6145124716553, 21.2585034013605, 22.5481859410431, 28.3163265306122, 32.468820861678, 16.5391156462585, 17.0209750566893, 15.3769841269841, 16.2698412698413, 32.8514739229025, 24.7732426303855, 21.5419501133787, 16.5107709750567, 22.7607709750567, 21.2301587301587, 16.5249433106576, 22.9875283446712, 28.6706349206349, 29.7760770975057, 13.265306122449, 16.3690476190476, 14.2290249433107, 16.2414965986395, 22.2647392290249, 33.0357142857143, 11.1678004535147, 12.0890022675737, 14.030612244898, 15.9438775510204, 17.2760770975057, 25.1984126984127, 33.8151927437642, 30.0028344671202, 18.9342403628118, 2.77777777777778, 13.7613378684807, 13.9314058956916, 19.1326530612245, 33.1207482993197, 25.1417233560091, 16.0856009070295, 16.468253968254, 17.828798185941, 15.5895691609977, 22.6757369614512, 32.624716553288, 32.1286848072562, 6.25, 18.4098639455782];[17.375507288791685, 17.545053974816422, 17.52209268613294, 17.519347491958506, 17.34721285161, 17.291223337671003, 17.350565313802985, 17.420661243315177, 17.58957042172992, 17.691160774726008, 17.676583848946862, 17.54376522870006, 17.497679675069257, 17.33939013050883, 17.22880797486547, 17.33055649891721, 17.26478153604892, 17.37336028037817, 17.21491335837895, 17.085813770391482, 17.20233476522404, 17.237606977321303, 17.25824572338314, 17.31142976181496, 17.286978007462782, 17.141633088315885, 17.04732062973949, 16.948436363664115, 17.14480239942922, 17.315798407017514, 17.36567868726334, 17.31909441209893, 17.003951269452088, 16.80322457466027, 17.096827951567484, 17.226952604595574, 17.27813400910827, 17.388807541033355, 17.39482035844362, 17.325655218640765, 17.20100829797481, 17.292978646340362, 17.1537224555403, 17.268774710187042, 17.326890773270247, 17.38150687733955, 17.232280921995425, 17.524470527681412, 17.499491588040243, 17.420026167999787, 17.49816908869036, 17.56388791993974, 17.56869568800816, 17.399711138373593, 17.278861778948272, 17.285180152105788];1998-03-23;1998-05-17
3;56;NaiveMovingAverage_normal;0.8483859707326825;60.0;0.412077020661149;10.912023705192622;0.410999736080449;8.81926309947346;[14.0731292517007, 17.0351473922903, 27.5793650793651, 52.4943310657596, 33.9427437641723, 7.93650793650794, 7.69557823129252, 20.124716553288, 17.8146258503401, 31.3775510204082, 42.8713151927438, 35.359977324263, 16.1706349206349, 11.4795918367347, 15.0368480725624, 24.1780045351474, 33.7159863945578, 32.8798185941043, 26.0770975056689, 13.6904761904762, 0.892857142857143, 5.39965986394558, 17.828798185941, 23.9937641723356, 24.1354875283447, 32.5821995464853, 17.8571428571429, 15.3628117913832, 12.2874149659864, 16.8367346938776, 25.0425170068027, 43.1122448979592, 10.9552154195011, 12.8968253968254, 13.5770975056689, 10.062358276644, 17.0068027210884, 31.5759637188209, 42.7862811791383, 30.5980725623583, 20.9041950113379, 20.124716553288, 17.3185941043084, 16.9501133786848, 25.6519274376417, 37.046485260771, 31.4200680272109, 17.2760770975057, 15.6746031746032, 12.4716553287982, 17.9280045351474, 25.0283446712018, 45.3089569160998, 32.2420634920635, 15.9438775510204, 16.6383219954649];[20.788855458146948, 20.88869070402396, 20.936446442681937, 20.84025919896235, 20.5234161534829, 20.471098857446325, 20.821269255209906, 21.12404848223262, 21.24535199734831, 21.354429296683495, 21.323057366506852, 21.1009717508416, 20.991803647713034, 21.043581348024613, 21.145130413692545, 21.277277555491104, 21.339604651875177, 21.31320157770893, 21.0721862976607, 20.97711458447024, 21.06613731638995, 21.24244964209873, 21.40642772267231, 21.527540142413876, 21.54723397726954, 21.400459067536563, 21.2911873044868, 21.409151530074052, 21.534455841500186, 21.690128232147742, 21.792755614268213, 21.781858762471536, 21.32918385877105, 21.110260567476193, 21.09524474275425, 21.183542084972128, 21.22980298368937, 21.357574356129586, 21.329965708177898, 21.25236308736426, 21.089419330587198, 21.187425613482574, 21.308116335814688, 21.448189456410056, 21.581168982744344, 21.54621366872603, 21.33160204156934, 21.191443725177088, 21.284947960907168, 21.39800331965178, 21.43915318101434, 21.428265911406825, 21.379240758144164, 21.178656612754207, 21.080688705197417, 21.132745243225727];1998-03-23;1998-05-17
21;56;NaiveMovingAverage_normal;0.2511907000563719;65.45454545454545;0.25841212449446543;5.8622390041843;0.2577049416179735;4.865532083878937;[12.6275510204082, 13.6054421768707, 20.0963718820862, 27.3809523809524, 26.6298185941043, 13.4353741496599, 16.3973922902494, 18.3390022675737, 13.6904761904762, 23.2993197278912, 29.6626984126984, 23.7670068027211, 12.4291383219955, 18.4948979591837, 17.984693877551, 17.2902494331066, 21.5419501133787, 18.0272108843537, 23.7953514739229, 12.6275510204082, 12.202380952381, 15.547052154195, 14.2573696145125, 19.7420634920635, 26.9274376417234, 20.7766439909297, 13.5062358276644, 13.9172335600907, 12.9251700680272, 13.6479591836735, 22.7607709750567, 26.3321995464853, 22.4206349206349, 12.6275510204082, 15.5612244897959, 14.4557823129252, 17.219387755102, 24.5890022675737, 30.7823129251701, 26.2471655328798, 14.8526077097506, 12.81179138322, 19.6853741496599, 16.1139455782313, 21.9104308390023, 27.749433106576, 24.6173469387755, 11.6213151927438, 14.4416099773243, 10.9977324263039, 14.1581632653061, 25.2834467120181, 31.1366213151927, 24.3339002267574, 14.0731292517007, 12.8684807256236];[17.199136941688423, 17.256620837444693, 17.29879464411955, 17.258194164989625, 17.0845950194909, 16.90921335596241, 16.910402336432902, 16.999619325011274, 17.03430539219928, 17.11335074825884, 17.043352930105122, 16.912292162220655, 16.891666173967014, 16.953145280620934, 17.035747722476618, 17.137215768525813, 17.207032089502135, 17.196675687738544, 16.99114927695915, 16.945845610585273, 17.02989866124386, 17.101487512096025, 17.16671342835939, 17.231523133073917, 17.167060949526952, 17.041634666867214, 17.011988152479503, 17.095377866561833, 17.194748816505474, 17.285881500692344, 17.373108194052307, 17.36914285046216, 17.16485175704989, 17.024366904015853, 17.12194281437237, 17.161711656349507, 17.26200364491138, 17.338000720957012, 17.3294560580706, 17.212990034935334, 17.07863466085153, 17.194043212198835, 17.23957894809838, 17.348112250911587, 17.496263196360612, 17.475262035255515, 17.31318040865127, 17.20959841603207, 17.297570858189722, 17.31965994119674, 17.381140486768597, 17.486141327329012, 17.409889310030966, 17.19552260493561, 17.033978991548764, 17.093256518356018];1998-03-23;1998-05-17
27;56;NaiveMovingAverage_normal;0.40084883540655974;72.72727272727273;0.363551997878051;7.258523261261731;0.36241399950342995;6.18919698909546;[9.33956916099773, 12.2590702947846, 20.9041950113379, 28.6848072562358, 27.6360544217687, 12.2448979591837, 15.8730158730159, 17.4036281179138, 16.2698412698413, 24.3764172335601, 27.9620181405896, 24.68820861678, 9.62301587301587, 14.030612244898, 12.9393424036281, 13.421201814059, 29.1241496598639, 20.1388888888889, 18.140589569161, 11.5362811791383, 12.7692743764172, 13.2227891156463, 14.328231292517, 22.5907029478458, 25.2834467120181, 31.6893424036281, 18.7358276643991, 16.8650793650794, 9.94897959183673, 10.8418367346939, 19.7562358276644, 29.7902494331066, 6.57596371882086, 5.71145124716553, 8.58843537414966, 14.4982993197279, 12.4291383219955, 29.7760770975057, 27.2959183673469, 23.1150793650794, 12.7692743764172, 12.1173469387755, 13.3645124716553, 12.3157596371882, 21.5986394557823, 24.9433106575964, 23.1575963718821, 11.9047619047619, 11.0969387755102, 9.92063492063492, 11.9614512471655, 29.0249433106576, 27.2534013605442, 22.1230158730159, 7.72392290249433, 8.14909297052154];[16.288285434934135, 16.38303959099682, 16.444016943432864, 16.420582127265035, 16.298308667657388, 16.171972609460102, 16.23763705644647, 16.253502303096795, 16.337300040059404, 16.361756879678158, 16.339202063742658, 16.22463621548969, 16.11812494726953, 16.2502421182018, 16.30649915725284, 16.39147815960532, 16.469283603356388, 16.37677165125416, 16.236568673139427, 16.109834794022706, 16.19247639771719, 16.257802304796908, 16.354595942186457, 16.385938641038596, 16.3424403797959, 16.252596123008786, 16.220575432031893, 16.34489146314318, 16.410120351889105, 16.518090102197352, 16.595572650558253, 16.50742989696121, 16.264328040393377, 16.079131722713214, 16.16686248913854, 16.21528849539799, 16.287128979214675, 16.31820648284778, 16.23521116072181, 16.136640199618746, 16.01986653318605, 16.082814800238953, 16.16685304799823, 16.238768185088244, 16.29998797834946, 16.20280863912683, 16.07053914938119, 15.906780973177796, 16.011869738144583, 16.10121811363329, 16.18628967097157, 16.207815003862386, 16.146102811754094, 15.994029278410341, 15.843233327158678, 16.09963286598336];1998-03-23;1998-05-17
